AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,DAYS_BIRTH,DAYS_EMPLOYED,CNT_CHILDREN,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,CODE_GENDER,NAME_EDUCATION_TYPE,OCCUPATION_TYPE,TARGET
76753.71563849953,108542.06091174184,5736.488588821157,-17795,-3016,0,0.339588514087076,0.07749508484931743,0.33132108531246407,F,Secondary,Drivers,0
55874.74954079217,149236.68246683446,8002.574684322734,-8994,-1110,0,0.2199587838209042,0.5944202205969813,0.25295164615861393,M,Higher education,Managers,0
82771.92965364884,101169.0387074698,8161.691750359148,-12891,-5029,3,0.3815956019212458,0.6569464844382845,0.1266692443140114,M,Secondary,,1
128221.55283858265,135296.38321654842,9789.36761396278,-11966,-4219,2,0.2074945638497184,0.5850738857692958,0.35133480186287064,F,Higher education,Drivers,0
53259.06546938102,52251.88260144994,4690.322651428036,-22516,-9056,2,0.4694739605214728,0.2515522559820582,0.6340933628288591,M,Higher education,Managers,0
53259.50266882978,184975.0489499429,10270.458120167203,-23146,-886,2,0.32394488706191255,0.23911205668675253,0.5242304660265841,M,Secondary,Laborers,0
131874.55486212557,162872.55213584675,2746.94138311656,-13369,-2922,0,0.41920416376124897,0.21877639577088293,0.5148020805565717,F,Secondary,,0
87879.10697482404,99682.64029279945,6298.370190903626,-22403,-8254,2,0.18020955645478623,0.20513359330166242,0.1807328884159858,F,Incomplete higher,Core staff,0
47347.19262683412,241722.9225536194,6665.434774839923,-17171,-4217,3,0.46022655176385074,0.4891429364632649,0.5048715525262844,F,Higher education,Drivers,0
78533.45739265763,285655.5754920352,10439.278297221377,-16814,-249,0,0.5076470311772293,0.29581965475920824,0.4470763013511577,F,Higher education,Core staff,0
47490.793661914875,62035.624106358846,8176.768814201197,-21017,-3093,0,0.7050544548813006,0.18413965673787344,0.29537867459349565,F,Higher education,Drivers,0
47435.92458299541,102987.7298927056,4618.266875202874,-18316,-725,1,0.15581792675063763,0.5482418261565443,0.6599337620346754,M,Higher education,Laborers,0
99999999.0,102591.93374183954,5464.362539807755,-14617,-1375,0,0.22964833522976918,0.7310111090704443,0.46728864370070716,F,Higher education,Drivers,0
23002.538943600946,92601.27036037187,8773.332517832896,-7960,-7074,0,0.3877039063631667,0.8607134305989329,0.47113803190631115,F,Incomplete higher,Core staff,0
25274.2427686738,267716.77879747265,7850.818424610778,-12996,-8911,2,0.5246868545636832,0.21254373033971838,0.5530943520106792,F,Incomplete higher,,1
45200.17490441385,144886.26245440045,6427.560528088855,-12897,-7043,2,0.5218222189055539,0.36948380338004205,0.41141296798885685,F,Incomplete higher,Core staff,0
36083.26414852113,138869.6628962905,6685.30079606357,-18688,-7388,0,0.4583688992310604,0.2706287597034611,0.5126340295125879,F,Higher education,Managers,0
70061.1468597906,48907.33094762936,10705.010681881808,-17062,-3953,0,0.37749308263633174,0.6272306529645986,0.0718517378043446,F,Secondary,Drivers,1
38024.57583774577,238291.6965903894,6587.459012720279,-15046,-3751,2,0.4367998133035751,0.6548667868553373,0.3034138805049371,M,Secondary,Drivers,0
29550.26968924983,77377.00814725012,7822.531500061043,-15223,-6241,1,0.49744023006986876,0.3958350849743533,0.17020258466082516,F,Higher education,Core staff,0
